Nationality
ALG
ARG
AUS
AUT
BAH
BAR
BEL
BIH
BLR
BOL
BRA
BUL
CAN
CHI
CHN
COL
CRO
CYP
CZE
DEN
DOM
ECU
EGY
ESA
ESP
EST
FIN
FRA
GBR
GEO
GER
GRE
GUA
HKG
HUN
INA
IND
IRI
IRL
ISR
ITA
JPN
KAZ
KOR
KUW
LAT
LIB
LTU
LUX
MAD
MAR
MAS
MDA
MEX
MON
NED
NOR
NZL
PAK
PAR
PER
PHI
POL
POR
PUR
QAT
ROU
RSA
RUS
SLO
SRB
SRI
SUI
SVK
SWE
THA
TPE
TUN
TUR
UAE
UKR
URU
USA
UZB
VEN
VIE
ZIM
